Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Copies,List Price_USD,Purchase Price_USD
"Administration of the Church and the Perfecting of the Saints, The",Cat#:  08-060-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,7.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.1,,,,,,,08 - Concerning the Church,0,,,7.25,
"Advance of the Lord's Recovery Today, The",Cat#:  12-001-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:02.8,,,,,,,12 - Concerning the New Way,0,,,9.25,
"Affirmation & Critique, Monographs: ""...That We Might Be Made God""",Cat#:  88-010-001,,,Robichaux,Robichaux,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,4.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,New,,88 - A&C Publishing,0,,,4.5,
"Affirmation & Critique, Monographs: Central Work of God, The",Cat#:  88-012-001,,,Kangas,Kangas,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,4.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,New,,88 - A&C Publishing,0,,,4.25,
"Affirmation & Critique, Monographs: Compound Spirit, The",Cat#:  88-011-001,,,Marks,Marks,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,4.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,New,,88 - A&C Publishing,0,,,4.75,
"Affirmation & Critique, Monographs: Corporate God in the Economy of God, The",Cat#:  88-008-001,,,Kangas,Kangas,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.0,,,,,New,,88 - A&C Publishing,0,,,5,
"Affirmation & Critique, Monographs: Revelation and Experience of Jehovah - Our Savior God - as Seen in His Names, The",Cat#:  88-009-001,,,Marks,Marks,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,4.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.0,,,,,New,,88 - A&C Publishing,0,,,4.75,
"Affirmation & Critique, Monographs: The Ministry of Christ in the Stage of Intensification",Cat#:  88-006-001,,,Marks,Marks,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,4.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.0,,,,,,,88 - A&C Publishing,0,,,4.75,
"Affirmation & Critique, Monographs: The Seven Spirits of God",Cat#:  88-005-001,,,Kangas,Kangas,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.1,,,,,,,88 - A&C Publishing,0,,,5,
"Affirmation and Critique, Vol. 02, No. 1, January 1997 - The Realization of the Triune God, The Consummated and Compound Spirit",Cat#:  31-005-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 02, No. 3, July 1997 - The Processes of the All-Inclusive Christ",Cat#:  31-007-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 02, No. 4, October 1997 - The Pneumatic Christ",Cat#:  31-008-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 03, No. 3, July 1998 - The Corporate Christ",Cat#:  31-011-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 03, No. 4, October 1998 - Christ Reconsidered",Cat#:  31-012-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 04, No. 1, January 1999 - The Economy of God",Cat#:  31-013-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.8,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 04, No. 2, April 1999 -
The Economy of God as the Dispensing of the Triune God",Cat#:  31-014-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.9,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 05, No. 1, January 2000 - God's Economy and the Principle of Recovery",Cat#:  31-017-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.9,,,,,,,31 - Affirmation and Critique,0,,,6,
"Affirmation and Critique, Vol. 05, No. 2, April 2000 -
The Ultimate Consummation of God's Economy: Heaven or the New Jerusalem?",Cat#:  31-018-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.9,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 06, No. 2, October 2001 - Transformation",Cat#:  31-022-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.9,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 07, No. 1, April 2002 - Glorification",Cat#:  31-023-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.9,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 08, No. 1, April 2003 - Romans",Cat#:  31-025-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.0,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 08, No. 2, October 2003 - The Only True God - The God of Life",Cat#:  31-026-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.0,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 10, No. 1, April 2005 - Word, Flesh, Breath: The Processed God",Cat#:  31-029-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.0,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 11, No. 1, April 2006 - The Two Trees",Cat#:  31-031-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.3,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 12, No. 1, April 2007 - The Purpose of God",Cat#:  31-033-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 12, No. 2, October 2007 - Revelation - A Book of Divine Administration",Cat#:  31-034-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.4,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 13, No. 1, April 2008 - God",Cat#:  31-035-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.6,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 13, No. 2, October 2008 - John 14",Cat#:  31-036-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.7,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 14, No. 1, Spring 2009 - The Kingdom of God",Cat#:  31-037-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.9,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 14, No. 2, Fall 2009 - Ephesians",Cat#:  31-038-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.1,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 15, No. 1, Spring 2010 - Four Vital Matters in the Bible",Cat#:  31-039-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.1,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 15, No. 2, Fall 2010 - The High Peak of the Divine Revelation",Cat#:  31-040-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.1,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 16, No. 1, Spring 2011 - The Will of God",Cat#:  31-041-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 16, No. 2, Fall 2011 - The Gospel of God",Cat#:  31-042-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 17, No. 1, Spring 2012 - The Kingdom",Cat#:  31-043-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 17, No. 2, Fall 2012 - The New Jerusalem",Cat#:  31-044-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 18, No. 1, Spring 2013 - The One New Man",Cat#:  31-045-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 18, No. 2, Fall 2013 - The Body of Christ",Cat#:  31-046-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.2,,,,,,,31 - Affirmation and Critique,0,,,10,
"Affirmation and Critique, Vol. 19, No. 1, Spring 2014 - First Corinthians",Cat#:  31-047-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.3,,,,,,,31 - Affirmation and Critique,0,,,12,
"Affirmation and Critique, Vol. 19, No. 2, Fall 2014 - The First Epistle of John",Cat#:  31-048-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.3,,,,,,,31 - Affirmation and Critique,0,,,12,
"Affirmation and Critique, Vol. 20, No. 1, Spring 2015 - The Organic Union",Cat#:  31-049-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.3,,,,,New,,31 - Affirmation and Critique,0,,,12,
"Affirmation and Critique, Vol. 20, No. 2, Fall 2015 - Salvation",Cat#:  31-050-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12 $,English,,,,,0,0,,Unread,,,,,,,,,,41:12.3,,,,,New,,31 - Affirmation and Critique,0,,,12,
"Age of the One New Man, The",Cat#:  08-931-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,7.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.1,,,,,,,08 - Concerning the Church,0,,,7.25,
All Ages for the Lord's Testimony,Cat#:  14-001-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,5.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.1,,,,,,,14 - Concerning Service,0,,,5.75,
"All-Inclusive Christ, The",Cat#:  06-001-401,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,11 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.9,,,,,,,06 - Concerning Christ,0,,,11,
"All-Inclusive Indwelling Spirit, The",Cat#:  07-100-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6.5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.7,,,,,,,07 - Concerning Life,0,,,6.5,
"All-Inclusive Spirit of Christ, The",Cat#:  18-083-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,1.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:09.5,,,,,,,18 - Booklets,0,,,1.5,
"All-Inclusiveness and Unlimitedness of Christ, The",Cat#:  06-908-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6.5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.9,,,,,,,06 - Concerning Christ,0,,,6.5,
"Apostles' Teaching and The New Testament Leadership, The",Cat#:  15-039-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.6,,,,,,,15 - Concerning Training,0,,,3.25,
"Apostles' Teaching, The",Cat#:  04-012-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.3,,,,,,,04 - Concerning God's Economy,0,,,8.5,
"Application of the Interpretation of the New Jerusalem to the Seeking Believers, The",Cat#:  04-045-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6.5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.4,,,,,,,04 - Concerning God's Economy,0,,,6.5,
"Assembly Life, The",Cat#:  08-043-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.1,,,,,,,08 - Concerning the Church,0,,,9,
"Assurance, Security, and Joy of Salvation, The",Cat#:  18-018-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,1.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:09.8,,,,,,,18 - Booklets,0,,,1.25,
Authority and Submission,Cat#:  07-001-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,11.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.8,,,,,,,07 - Concerning Life,0,,,11.25,
"Autobiography of a Person in the Spirit, An",Cat#:  07-002-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,7 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.9,,,,,,,07 - Concerning Life,0,,,7,
"Banner Song-Learning CD Crystallization-Study of 1 & 2 Peter and Jude, 2007 Winter Training",Cat#:  99-119-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.9,,,,,6 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of Acts, 2008 Winter Training",Cat#:  99-122-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:16.9,,,,,6 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of Isaiah (1), 2010 Summer Training",Cat#:  99-126-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.0,,,,,6 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of Isaiah (2), 2010 Winter Training",Cat#:  99-128-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.0,,,,,7 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of the Gospel of God in Romans, 2009 Winter Training",Cat#:  99-125-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.3,,,,,6 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of the Gospel of God, 2009 Summer Training",Cat#:  99-123-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.1,,,,,6 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of the Minor Prophets, 2012 Summer Training",Cat#:  99-131-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.5,,,,,7 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of the Psalms (1), 2011 Summer Training",Cat#:  99-129-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.7,,,,,7 languages w/instrument,,99 - Music - Singing,0,,,3,
"Banner Song-Learning CD Crystallization-Study of the Psalms (2), 2011 Winter Training",Cat#:  99-130-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.9,,,,,7 languages w/instrument,,99 - Music - Singing,0,,,3,
"Baptism in the Holy Spirit, The",Cat#:  07-003-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,1.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:10.0,,,,,,,18 - Booklets,0,,,1.5,
"Baptism in the Holy Spirit, The",Cat#:  18-114-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.9,,,,,,,07 - Concerning Life,0,,,2.25,
Basic Lessons on Life,Cat#:  07-037-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.1,,,,,,,07 - Concerning Life,0,,,9,
Basic Lessons on Service,Cat#:  14-012-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.1,,,,,,,14 - Concerning Service,0,,,8.5,
Basic Principles Concerning the Eldership,Cat#:  15-072-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.6,,,,,,,15 - Concerning Training,0,,,8.25,
Basic Principles for the Practice of the Church Life,Cat#:  08-041-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6.5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.1,,,,,,,08 - Concerning the Church,0,,,6.5,
"Basic Principles for the Practice of the God-Ordained Way, The",Cat#:  18-009-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,1.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:09.1,,,,,,,18 - Booklets,0,,,1.25,
Basic Principles for the Service in the Church Life,Cat#:  14-015-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,5.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.2,,,,,,,14 - Concerning Service,0,,,5.75,
Basic Principles of the Experience of Life,Cat#:  07-066-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.1,,,,,,,07 - Concerning Life,0,,,9.75,
"Basic Revelation in the Holy Scriptures, The",Cat#:  10-001-401,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.9,,,,,,,10 - Concerning the Study of the Bible,0,,,10.25,
Basic Training,Cat#:  15-058-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,6 $,English,,,,,0,0,,Unread,,,,,,,,,,41:07.6,,,,,,,15 - Concerning Training,0,,,6,
"Basis for the Building Work of God, The",Cat#:  04-911-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.4,,,,,,,04 - Concerning God's Economy,0,,,8.25,
Bearing Remaining Fruit (2 volume set),Cat#:  12-906-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,17 $,English,,,,,0,0,,Unread,,,,,,,,,,41:02.9,,,,,,,12 - Concerning the New Way,0,,,17,
"Bearing Remaining Fruit, Vol. 1",Cat#:  12-903-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:02.9,,,,,,,12 - Concerning the New Way,0,,,10.5,
"Bearing Remaining Fruit, Vol. 2",Cat#:  12-904-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:02.9,,,,,,,12 - Concerning the New Way,0,,,8.75,
